date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:45:28	769741/769741	---MCZ	200	added ('OK')	text/html	etag:W/%222bb9c91c30f556a531301a59f6ea7f0f%22	https://oangosa2012.wixsite.com/gosa	./gosa_clon/oangosa2012.wixsite.com/gosa.html	(from )
15:45:29	270/270	---MCZ	200	added ('OK')	text/plain	etag:W/%221bb-vSHNsUa7VWyA63DVja2Ytd/v8ts%22	https://oangosa2012.wixsite.com/robots.txt		(from )
15:45:29	2504/2504	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2022%20Feb%202026%2020:45:29%20GMT	https://oangosa2012.wixsite.com/	./gosa_clon/oangosa2012.wixsite.com/index.html	(from https://oangosa2012.wixsite.com/gosa)
15:45:29	2504/2504	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2022%20Feb%202026%2020:45:29%20GMT	https://oangosa2012.wixsite.com/t	./gosa_clon/oangosa2012.wixsite.com/t.1.delayed	(from https://oangosa2012.wixsite.com/gosa)
15:45:30	2503/2503	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2022%20Feb%202026%2020:45:30%20GMT	https://oangosa2012.wixsite.com/e	./gosa_clon/oangosa2012.wixsite.com/e.2.delayed	(from https://oangosa2012.wixsite.com/gosa)
15:45:32	770730/770730	---MCZ	200	added ('OK')	text/html	etag:W/%2289533da4b516dd3974ebaf2d308f13f2%22	https://oangosa2012.wixsite.com/gosa/en	./gosa_clon/oangosa2012.wixsite.com/gosa/en.html	(from https://oangosa2012.wixsite.com/gosa)
15:45:33	1095381/1095381	---MCZ	200	added ('OK')	text/html	etag:W/%228e5443c946322fe4f7eb77f397c36518%22	https://oangosa2012.wixsite.com/gosa/integrantes	./gosa_clon/oangosa2012.wixsite.com/gosa/integrantes.html	(from https://oangosa2012.wixsite.com/gosa)
15:45:34	588660/588660	---MCZ	200	added ('OK')	text/html	etag:W/%225611625a037d1a5c38901da3745d466c%22	https://oangosa2012.wixsite.com/gosa/%c3%a1reas-de-investigaci%c3%b3n	./gosa_clon/oangosa2012.wixsite.com/gosa/%c3%a1reas-de-investigaci%c3%b3n.html	(from https://oangosa2012.wixsite.com/gosa)
15:45:34	694649/694649	---MCZ	200	added ('OK')	text/html	etag:W/%22c17cc76ea11ca1a1a89830c92edeb49f%22	https://oangosa2012.wixsite.com/gosa/publicaciones	./gosa_clon/oangosa2012.wixsite.com/gosa/publicaciones.html	(from https://oangosa2012.wixsite.com/gosa)
15:45:36	629906/629906	---MCZ	200	added ('OK')	text/html	etag:W/%2271ea7f86859dc3676f6604a8c2ffaf00%22	https://oangosa2012.wixsite.com/gosa/tesis	./gosa_clon/oangosa2012.wixsite.com/gosa/tesis.html	(from https://oangosa2012.wixsite.com/gosa)
15:45:37	634788/634788	---MCZ	200	added ('OK')	text/html	etag:W/%2293bec45aa5ac03126b4419bb1608ce7c%22	https://oangosa2012.wixsite.com/gosa/eventos	./gosa_clon/oangosa2012.wixsite.com/gosa/eventos.html	(from https://oangosa2012.wixsite.com/gosa)
